jaccard_similarity,candidate_probability
0.787,0.9938663731199973
0.788,0.9942029103669645
0.789,0.9945242939324582
0.79,0.9948310220067963
0.791,0.9951235852811819
0.792,0.9954024666763849
0.793,0.995668141087856
0.794,0.9959210751474548
0.795,0.996161727001935
0.796,0.9963905461082901
0.797,0.9966079730460283
0.798,0.9968144393464027
0.799,0.9970103673385895
0.8,0.9971961700127647
0.801,0.997372250899997
0.802,0.9975390039688329
0.803,0.9976968135384178
0.804,0.9978460542079609
0.805,0.9979870908023133
0.806,0.9981202783334004
0.807,0.9982459619772142
0.808,0.998364477066038
0.809,0.9984761490955514
0.81,0.998581293746428
0.811,0.9986802169200167
0.812,0.9987732147876667
0.8130000000000001,0.9988605738532368
0.8140000000000001,0.9989425710283036
0.8150000000000001,0.9990194737195636
0.8160000000000001,0.999091539927906
0.8170000000000001,0.9991590183586149
0.8180000000000001,0.9992221485421443
0.8190000000000001,0.9992811609648976
0.8200000000000001,0.9993362772094287
0.8210000000000001,0.9993877101034776
0.8220000000000001,0.9994356638772391
0.8230000000000001,0.9994803343282658
0.8240000000000001,0.9995219089933951
0.8250000000000001,0.999560567327096
0.8260000000000001,0.9995964808856246
0.8270000000000001,0.999629813516387
0.8280000000000001,0.9996607215519062
0.8290000000000001,0.9996893540077993
0.8300000000000001,0.9997158527841783
0.8310000000000001,0.999740352869897
0.8320000000000001,0.9997629825490781
0.833,0.9997838636093662
0.834,0.9998031115513691
0.835,0.9998208357987625
0.836,0.9998371399085517
0.837,0.9998521217810031
0.838,0.9998658738687739
0.839,0.9998784833847932
0.84,0.9998900325084653
0.841,0.9999005985897897
0.842,0.9999102543510152
0.843,0.9999190680854662
0.844,0.9999271038532064
0.845,0.9999344216732275
0.846,0.9999410777118736
0.847,0.9999471244672378
0.848,0.9999526109492924
0.849,0.9999575828555373
0.85,0.9999620827419743
0.851,0.9999661501892428
0.852,0.9999698219637706
0.853,0.9999731321738204
0.854,0.9999761124203348
0.855,0.9999787919425009
0.856,0.9999811977579819
0.857,0.9999833547977781
0.858,0.9999852860357054
0.859,0.9999870126124905
0.86,0.9999885539545061
0.861,0.9999899278871841
0.862,0.9999911507431571
0.863,0.9999922374652
0.864,0.9999932017040492
0.865,0.9999940559111958
0.866,0.9999948114267581
0.867,0.9999954785625463
0.868,0.9999960666804479
0.869,0.9999965842662631
0.87,0.9999970389991323
0.871,0.9999974378167016
0.872,0.9999977869761751
0.873,0.9999980921114126
0.874,0.999998358286226
0.875,0.9999985900440396
0.876,0.9999987914540718
0.877,0.9999989661542021
0.878,0.9999991173906848
0.879,0.9999992480548697
0.88,0.9999993607170888
0.881,0.9999994576578664
0.882,0.9999995408966047
0.883,0.9999996122178982
0.884,0.9999996731956197
0.885,0.9999997252149239
0.886,0.9999997694923038
0.887,0.9999998070938353
0.888,0.9999998389517352
0.889,0.9999998658793565
0.89,0.9999998885847399
0.891,0.999999907682829
0.892,0.9999999237064588
0.893,0.9999999371162168
0.894,0.9999999483092701
0.895,0.999999957627249
0.896,0.9999999653632716
0.897,0.9999999717681849
0.898,0.9999999770560973
0.899,0.9999999814092715
0.9,0.9999999849824373
0.901,0.9999999879065856
0.902,0.9999999902922964
0.903,0.999999992232648
0.904,0.9999999938057569
0.905,0.9999999950769839
0.906,0.9999999961008497
0.907,0.9999999969226893
0.908,0.9999999975800785
0.909,0.9999999981040605
0.91,0.9999999985201947
0.911,0.9999999988494541
0.912,0.9999999991089877
0.913,0.9999999993127676
0.914,0.9999999994721359
0.915,0.9999999995962654
0.916,0.9999999996925455
0.917,0.9999999997669065
0.918,0.9999999998240875
0.919,0.9999999998678613
0.92,0.9999999999012177
0.921,0.9999999999265163
0.922,0.9999999999456112
0.923,0.9999999999599524
0.924,0.9999999999706685
0.925,0.9999999999786342
0.926,0.9999999999845237
0.927,0.9999999999888542
0.928,0.9999999999920205
0.929,0.999999999994322
0.93,0.999999999995985
0.931,0.9999999999971791
0.932,0.9999999999980312
0.933,0.9999999999986354
0.934,0.9999999999990608
0.935,0.9999999999993582
0.936,0.9999999999995648
0.937,0.9999999999997071
0.9380000000000001,0.9999999999998045
0.9390000000000001,0.9999999999998705
0.9400000000000001,0.999999999999915
0.9410000000000001,0.9999999999999447
0.9420000000000001,0.9999999999999644
0.9430000000000001,0.9999999999999772
0.9440000000000001,0.9999999999999856
0.9450000000000001,0.999999999999991
0.9460000000000001,0.9999999999999944
0.9470000000000001,0.9999999999999966
0.9480000000000001,0.9999999999999979
0.9490000000000001,0.9999999999999988
0.9500000000000001,0.9999999999999992
0.9510000000000001,0.9999999999999996
0.9520000000000001,0.9999999999999998
0.9530000000000001,0.9999999999999999
0.9540000000000001,0.9999999999999999
0.9550000000000001,1.0
0.9560000000000001,1.0
0.9570000000000001,1.0
0.9580000000000001,1.0
0.9590000000000001,1.0
0.96,1.0
0.961,1.0
0.962,1.0
0.963,1.0
0.964,1.0
0.965,1.0
0.966,1.0
0.967,1.0
0.968,1.0
0.969,1.0
0.97,1.0
0.971,1.0
0.972,1.0
0.973,1.0
0.974,1.0
0.975,1.0
0.976,1.0
0.977,1.0
0.978,1.0
0.979,1.0
0.98,1.0
0.981,1.0
0.982,1.0
0.983,1.0
0.984,1.0
0.985,1.0
0.986,1.0
0.987,1.0
0.988,1.0
0.989,1.0
