notice_id_a,notice_id_b,label,raw_words,cleaned_words,cleaned_3_shingles
N011716,N011717,same,0.9902200488997555,0.9891891891891892,0.9763406940063092
N001083,N011985,different,0.49033816425120774,0.504,0.33428981348637016
N011499,N011500,same,0.9933035714285714,0.9952830188679245,0.992797118847539
N004212,N009766,different,0.5740432612312812,0.5966850828729282,0.4238646482635797
N002974,N006457,different,0.4266666666666667,0.44788273615635177,0.2310007524454477
N003854,N003855,same,0.7286652078774617,0.7395577395577395,0.6835443037974683
N005378,N005379,same,0.9576470588235294,0.9636363636363636,0.946376811594203
N011829,N011830,same,0.9642857142857143,0.9656084656084656,0.9560117302052786
N005326,N006145,different,0.4321503131524008,0.4413793103448276,0.26523297491039427
N006145,N006146,same,0.7088305489260143,0.7025641025641025,0.5718085106382979
N002008,N003498,different,0.5,0.5407407407407407,0.33764553686934023
N010513,N010514,same,0.9701789264413518,0.9725738396624473,0.9435396308360477
N000443,N006009,different,0.31688804554079697,0.312625250501002,0.1274787535410765
N000043,N000050,same,0.9901234567901235,0.989041095890411,0.9737654320987654
N008967,N008968,same,0.3415233415233415,0.3633879781420765,0.29204892966360857
N002801,N002802,same,0.711864406779661,0.7146118721461188,0.5791245791245792
N000119,N009303,different,0.28825622775800713,0.2887189292543021,0.1195551436515292
N002058,N002059,same,0.9721030042918455,0.9724770642201835,0.9540507859733979
N001325,N009136,different,0.44471153846153844,0.45478723404255317,0.25770308123249297
N003642,N009092,different,0.4428904428904429,0.4623376623376623,0.2602739726027397
N004298,N004299,same,0.9922077922077922,0.9942528735632183,0.9761904761904762
N007729,N007732,same,0.9938837920489296,0.9933333333333333,0.9800399201596807
N007652,N008774,different,0.5870967741935483,0.617169373549884,0.48322147651006714
N000834,N001578,different,0.3411214953271028,0.34105960264900664,0.1634689178818112
N002673,N009844,different,0.5634615384615385,0.589247311827957,0.4190260475651189
N003008,N009152,different,0.4397463002114165,0.4515366430260047,0.26516052318668254
N001326,N001328,same,0.6988505747126437,0.7,0.5934343434343434
N009445,N009562,different,0.6433260393873085,0.6697892271662763,0.5763125763125763
N005985,N009162,different,0.3536977491961415,0.3576388888888889,0.18755118755118755
N004071,N004072,same,0.9743589743589743,0.9777070063694268,0.946360153256705
N000384,N002019,different,0.3344316309719934,0.34285714285714286,0.1584241408214585
N003494,N003495,same,0.29583333333333334,0.30957683741648107,0.21878579610538373
N005806,N011786,different,0.3567567567567568,0.36435643564356435,0.21909547738693466
N011420,N011984,different,0.5523978685612788,0.578544061302682,0.43394495412844036
N006646,N009384,different,0.3307543520309478,0.3215767634854772,0.14285714285714285
N002639,N002640,same,0.959493670886076,0.9606741573033708,0.912621359223301
N006541,N009386,different,0.5196687370600414,0.527027027027027,0.38562874251497004
N006760,N008055,different,0.5794871794871795,0.6014760147601476,0.45768566493955093
N001785,N004629,different,0.5371747211895911,0.5495867768595041,0.4211099020674646
