notice_id_a,notice_id_b,label,exact,estimate,abs_error
N003144,N011859,different,0.4001937984496124,0.3984375,0.0017562984496123923
N000889,N000890,same,0.6031746031746031,0.58984375,0.013330853174603141
N001432,N001435,same,0.7268292682926829,0.78515625,0.058326981707317094
N008926,N010073,different,0.19015151515151515,0.19921875,0.009067234848484845
N006903,N010093,different,0.21064996084573218,0.2265625,0.015912539154267824
N000486,N000487,same,0.9745958429561201,0.9453125,0.029283342956120118
N006198,N007366,different,0.19314938154138916,0.2109375,0.017788118458610835
N004084,N004085,same,0.7063020214030915,0.765625,0.05932297859690849
N007902,N007976,different,0.5190641247833622,0.49609375,0.02297037478336217
N002019,N002021,same,0.5029644268774703,0.53515625,0.03219182312252966
N008725,N008728,same,0.634375,0.62890625,0.005468750000000022
N001957,N001958,same,0.9786407766990292,0.96875,0.009890776699029158
N005497,N008336,different,0.14871794871794872,0.17578125,0.027063301282051283
N009301,N009302,same,0.9699248120300752,0.984375,0.01445018796992481
N008499,N008952,different,0.36271186440677966,0.3828125,0.02010063559322034
N002300,N003674,different,0.18608414239482202,0.1796875,0.006396642394822016
N009680,N011001,different,0.1310344827586207,0.140625,0.009590517241379298
N005556,N006568,different,0.1386696730552424,0.171875,0.03320532694475761
N003574,N007121,different,0.27537593984962405,0.3046875,0.029311560150375948
N004353,N004355,same,0.5842044134727061,0.5703125,0.01389191347270613
N004438,N004442,same,0.8277777777777777,0.8203125,0.0074652777777777235
N004678,N004680,same,0.862796833773087,0.85546875,0.007328083773087024
N000056,N009414,different,0.12352941176470589,0.109375,0.014154411764705888
N005365,N009764,different,0.33406593406593404,0.375,0.040934065934065955
N002248,N003503,different,0.27155172413793105,0.265625,0.00592672413793105
N010508,N010509,same,0.36349453978159124,0.41796875,0.05447421021840876
N001817,N007306,different,0.15619967793880837,0.15625,5.032206119162663e-05
N003274,N007023,different,0.40186915887850466,0.359375,0.04249415887850466
N005079,N005080,same,0.37122128174123337,0.390625,0.019403718258766633
N000591,N011538,different,0.17672047578589634,0.1875,0.010779524214103664
N009925,N010387,different,0.18552875695732837,0.171875,0.013653756957328372
N001053,N002186,different,0.31926406926406925,0.3515625,0.03229843073593075
N008562,N009324,different,0.42995169082125606,0.421875,0.00807669082125606
N000250,N003051,different,0.16987179487179488,0.19921875,0.02934695512820512
N001525,N001678,different,0.43499511241446726,0.4375,0.0025048875855327446
N008599,N008602,same,0.5187667560321716,0.4921875,0.026579256032171594
N003942,N010918,different,0.2708333333333333,0.25390625,0.016927083333333315
N002513,N007637,different,0.4435763888888889,0.46875,0.025173611111111105
N009703,N009705,same,0.5167883211678832,0.5078125,0.008975821167883202
N004315,N009584,different,0.3971462544589774,0.375,0.022146254458977388
N010620,N010621,same,0.9395424836601307,0.92578125,0.013761233660130712
N008248,N008249,same,0.3859060402684564,0.4296875,0.043781459731543626
N005222,N005225,same,0.3861003861003861,0.37109375,0.015006636100386106
N002502,N002505,same,0.9373970345963756,0.953125,0.015727965403624422
N006200,N006201,same,0.40632054176072235,0.421875,0.015554458239277646
N000217,N002582,different,0.22692889561270801,0.234375,0.007446104387291985
N001207,N004094,different,0.29411764705882354,0.3046875,0.01056985294117646
N005453,N010471,different,0.29717514124293787,0.34375,0.04657485875706213
N001063,N005024,different,0.3374028856825749,0.3359375,0.0014653856825749267
N000697,N005493,different,0.11687087653157399,0.10546875,0.011402126531573992
N003555,N009272,different,0.12949640287769784,0.171875,0.04237859712230216
N005393,N007391,different,0.27305389221556886,0.30078125,0.02772735778443114
N006121,N009928,different,0.4363807728557964,0.40234375,0.034037022855796406
N004229,N006064,different,0.12605042016806722,0.1484375,0.022387079831932777
N003265,N010005,different,0.3270440251572327,0.32421875,0.0028252751572326873
N007303,N007376,different,0.15284249767008387,0.1640625,0.011220002329916129
N005512,N007327,different,0.38254310344827586,0.38671875,0.004175646551724144
N009065,N011122,different,0.13897596656217345,0.140625,0.001649033437826547
N001376,N001377,same,0.42660550458715596,0.45703125,0.03042574541284404
N000357,N000359,same,0.7351778656126482,0.78515625,0.049978384387351804
N008677,N011938,different,0.32068543451652387,0.3203125,0.00037293451652387066
N002197,N002198,same,0.4807162534435262,0.50390625,0.023189996556473802
N001905,N005873,different,0.4180952380952381,0.40625,0.011845238095238075
N007497,N007499,same,0.6275626423690205,0.66796875,0.040406107630979515
N007334,N007335,same,0.9361344537815126,0.93359375,0.00254070378151261
N002570,N005618,different,0.16470588235294117,0.171875,0.007169117647058826
N001074,N002707,different,0.17096018735362997,0.2109375,0.03997731264637003
N003691,N004544,different,0.12172284644194757,0.1484375,0.02671465355805243
N003415,N008452,different,0.4143897996357013,0.4609375,0.04654770036429873
N011716,N011717,same,0.9763406940063092,0.98046875,0.004128055993690816
N001083,N011985,different,0.33428981348637016,0.38671875,0.05242893651362984
N011499,N011500,same,0.992797118847539,1.0,0.007202881152461038
N004212,N009766,different,0.4238646482635797,0.37890625,0.044958398263579724
N002974,N006457,different,0.2310007524454477,0.2421875,0.01118674755455229
N003854,N003855,same,0.6835443037974683,0.74609375,0.06254944620253167
N005378,N005379,same,0.946376811594203,0.94921875,0.002841938405797051
N011829,N011830,same,0.9560117302052786,0.9453125,0.010699230205278631
N005326,N006145,different,0.26523297491039427,0.2734375,0.00820452508960573
N006145,N006146,same,0.5718085106382979,0.515625,0.05618351063829785
N002008,N003498,different,0.33764553686934023,0.39453125,0.056885713130659765
N010513,N010514,same,0.9435396308360477,0.9296875,0.013852130836047749
N000443,N006009,different,0.1274787535410765,0.125,0.0024787535410764894
N000043,N000050,same,0.9737654320987654,0.96875,0.005015432098765427
N008967,N008968,same,0.29204892966360857,0.3125,0.02045107033639143
N002801,N002802,same,0.5791245791245792,0.6015625,0.022437920875420847
N000119,N009303,different,0.1195551436515292,0.12109375,0.0015386063484708057
N002058,N002059,same,0.9540507859733979,0.953125,0.0009257859733978746
N001325,N009136,different,0.25770308123249297,0.25390625,0.00379683123249297
N003642,N009092,different,0.2602739726027397,0.2734375,0.013163527397260288
N004298,N004299,same,0.9761904761904762,0.984375,0.008184523809523836
N007729,N007732,same,0.9800399201596807,0.9765625,0.0034774201596806664
N007652,N008774,different,0.48322147651006714,0.49609375,0.012872273489932862
N000834,N001578,different,0.1634689178818112,0.1953125,0.0318435821181888
N002673,N009844,different,0.4190260475651189,0.39453125,0.02449479756511891
N003008,N009152,different,0.26516052318668254,0.234375,0.03078552318668254
N001326,N001328,same,0.5934343434343434,0.59375,0.00031565656565657463
N009445,N009562,different,0.5763125763125763,0.55859375,0.017718826312576264
N005985,N009162,different,0.18755118755118755,0.17578125,0.011769937551187548
N004071,N004072,same,0.946360153256705,0.9453125,0.0010476532567049723
N000384,N002019,different,0.1584241408214585,0.15625,0.0021741408214585034
N003494,N003495,same,0.21878579610538373,0.21484375,0.003942046105383734
N005806,N011786,different,0.21909547738693466,0.20703125,0.012064227386934662
N011420,N011984,different,0.43394495412844036,0.453125,0.019180045871559637
N006646,N009384,different,0.14285714285714285,0.15234375,0.00948660714285715
N002639,N002640,same,0.912621359223301,0.88671875,0.02590260922330101
N006541,N009386,different,0.38562874251497004,0.34765625,0.037972492514970035
N006760,N008055,different,0.45768566493955093,0.50390625,0.04622058506044907
N001785,N004629,different,0.4211099020674646,0.3984375,0.022672402067464625
N000741,N000745,same,0.9445324881141046,0.95703125,0.012498761885895382
N008186,N009304,different,0.19327073552425664,0.21875,0.025479264475743363
N001323,N006364,different,0.28134556574923547,0.31640625,0.03506068425076453
N003863,N010008,different,0.1802030456852792,0.2109375,0.0307344543147208
N000058,N000184,different,0.4351219512195122,0.41796875,0.017153201219512193
N000412,N004657,different,0.18962848297213622,0.1953125,0.00568401702786378
N000926,N003644,different,0.47523809523809524,0.51171875,0.03648065476190476
N004369,N008199,different,0.3460246360582307,0.35546875,0.009444113941769305
N003450,N006996,different,0.2425828970331588,0.31640625,0.0738233529668412
